t,,h
0,,2.39924
0.00350175,,2.73204
0.0070035,,-6.11536
0.0105053,,-1.43026
0.014007,,-0.0260647
0.0175088,,4.68309
0.0210105,,1.28144
0.0245123,,3.29945
0.028014,,-5.57726
0.0315158,,-7.10712
0.0350175,,-1.21494
0.0385193,,-2.66225
0.042021,,0.412159
0.0455228,,-4.13672
0.0490245,,3.73145
0.0525263,,-10.2698
0.056028,,2.43978
0.0595298,,-3.63369
0.0630315,,-1.54786
0.0665333,,4.56733
0.070035,,-1.68348
0.0735368,,7.19139
0.0770385,,5.81296
0.0805403,,-0.402065
0.084042,,-6.29206
0.0875438,,-5.43938
0.0910455,,-2.47555
0.0945473,,11.053
0.098049,,9.71731
0.101551,,4.23014
0.105053,,-4.898
0.108554,,7.89214
0.112056,,-3.29891
0.115558,,0.171331
0.11906,,-7.2737
0.122561,,2.5475
0.126063,,12.3116
0.129565,,5.51332
0.133067,,2.96518
0.136568,,15.6049
0.14007,,4.68871
0.143572,,-4.94073
0.147074,,2.64802
0.150575,,-3.91763
0.154077,,-12.4717
0.157579,,14.6267
0.161081,,11.8632
0.164582,,-7.52735
0.168084,,-4.60389
0.171586,,1.19786
0.175088,,4.84444
0.178589,,4.43116
0.182091,,10.3364
0.185593,,-0.893585
0.189095,,-2.79305
0.192596,,1.40367
0.196098,,0.782066
0.1996,,8.11101
0.203102,,-1.94012
0.206603,,-0.479638
0.210105,,9.31483
0.213607,,10.3777
0.217109,,-4.39514
0.22061,,3.13307
0.224112,,4.84889
0.227614,,2.20313
0.231116,,12.2385
0.234617,,15.5035
0.238119,,0.709409
0.241621,,-2.44332
0.245123,,7.76369
0.248624,,-4.99852
0.252126,,5.70455
0.255628,,1.11643
0.25913,,1.38458
0.262631,,-1.18808
0.266133,,7.45296
0.269635,,2.78697
0.273137,,-2.13149
0.276638,,-0.87994
0.28014,,8.39028
0.283642,,3.1306
0.287144,,0.572434
0.290645,,-2.06659
0.294147,,-1.18563
0.297649,,-8.74539
0.301151,,5.03203
0.304652,,-7.74515
0.308154,,-1.29229
0.311656,,5.8841
0.315158,,-4.05396
0.318659,,3.32598
0.322161,,-4.8386
0.325663,,-0.949762
0.329165,,-9.09509
0.332666,,-8.15323
0.336168,,-2.39753
0.33967,,2.89081
0.343172,,6.19965
0.346673,,7.13612
0.350175,,-4.92078
0.353677,,-9.38427
0.357179,,-0.728314
0.36068,,-2.11757
0.364182,,-11.5373
0.367684,,-0.777431
0.371186,,-4.49141
0.374687,,-9.15075
0.378189,,1.90043
0.381691,,-4.58874
0.385193,,-4.27299
0.388694,,2.2641
0.392196,,-7.76574
0.395698,,-0.0448494
0.3992,,-5.6904
0.402701,,-8.15212
0.406203,,-6.70228
0.409705,,-4.10048
0.413207,,-3.9914
0.416708,,-14.5219
0.42021,,-3.83627
0.423712,,-2.77988
0.427214,,-0.660877
0.430715,,-5.07269
0.434217,,-2.4073
0.437719,,-11.7794
0.441221,,-6.4899
0.444722,,1.64239
0.448224,,-16.2128
0.451726,,-1.56099
0.455228,,-5.05674
0.458729,,-0.97831
0.462231,,-8.07724
0.465733,,-1.07849
0.469235,,4.76429
0.472736,,-2.86054
0.476238,,0.211777
0.47974,,-7.35946
0.483242,,2.6558
0.486743,,15.1054
0.490245,,-8.07688
0.493747,,-11.3759
0.497249,,-15.53
0.50075,,7.27306
0.504252,,-3.08348
0.507754,,-6.20154
0.511256,,-5.10902
0.514757,,-6.63644
0.518259,,-9.39417
0.521761,,-12.0659
0.525263,,-10.3482
0.528764,,-11.55
0.532266,,-7.8756
0.535768,,-3.95086
0.53927,,6.00021
0.542771,,-0.0631997
0.546273,,-6.0209
0.549775,,7.01075
0.553277,,7.34869
0.556778,,-0.00841869
0.56028,,-11.2237
0.563782,,-3.79537
0.567284,,2.45031
0.570785,,6.76683
0.574287,,-3.09327
0.577789,,4.48806
0.581291,,-10.0235
0.584792,,0.215473
0.588294,,-3.29344
0.591796,,-6.25899
0.595298,,-0.11549
0.598799,,4.62963
0.602301,,-1.86626
0.605803,,5.89294
0.609305,,2.41425
0.612806,,-0.0662714
0.616308,,5.53813
0.61981,,-0.111559
0.623312,,-1.39154
0.626813,,2.16575
0.630315,,10.8179
0.633817,,4.99891
0.637319,,3.2416
0.64082,,4.49066
0.644322,,-7.8988
0.647824,,4.35739
0.651326,,2.67363
0.654827,,4.03918
0.658329,,3.69858
0.661831,,-6.44614
0.665333,,-3.21617
0.668834,,-0.24895
0.672336,,1.48767
0.675838,,0.539518
0.67934,,2.05537
0.682841,,2.47039
0.686343,,7.9129
0.689845,,-4.44467
0.693347,,-0.927002
0.696848,,-11.103
0.70035,,-1.66077
0.703852,,10.9585
0.707354,,16.2316
0.710855,,0.324553
0.714357,,6.62001
0.717859,,0.778486
0.721361,,3.32302
0.724862,,-2.42594
0.728364,,7.91468
0.731866,,-0.604669
0.735368,,-9.3825
0.738869,,-3.93655
0.742371,,4.75697
0.745873,,15.7242
0.749375,,8.26294
0.752876,,7.48631
0.756378,,6.17826
0.75988,,9.39824
0.763382,,5.47639
0.766883,,-5.83247
0.770385,,7.92637
0.773887,,9.37572
0.777389,,-2.82997
0.78089,,4.06881
0.784392,,13.1131
0.787894,,4.01265
0.791396,,12.7378
0.794897,,8.67023
0.798399,,10.4751
0.801901,,8.00806
0.805403,,6.38831
0.808904,,8.90746
0.812406,,9.21251
0.815908,,-7.49656
0.81941,,-4.11528
0.822911,,4.52956
